graph_path,type,order,density,id,runtime_igraph,is_perfect_igraph,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00001.txt,IMH,00010,25000,00001,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00002.txt,IMH,00010,25000,00002,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00003.txt,IMH,00010,25000,00003,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00004.txt,IMH,00010,25000,00004,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00005.txt,IMH,00010,25000,00005,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00006.txt,IMH,00010,25000,00006,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00007.txt,IMH,00010,25000,00007,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00008.txt,IMH,00010,25000,00008,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00009.txt,IMH,00010,25000,00009,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_25000_00010.txt,IMH,00010,25000,00010,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00001.txt,IMH,00010,50000,00001,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00002.txt,IMH,00010,50000,00002,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00003.txt,IMH,00010,50000,00003,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00004.txt,IMH,00010,50000,00004,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00005.txt,IMH,00010,50000,00005,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00006.txt,IMH,00010,50000,00006,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00007.txt,IMH,00010,50000,00007,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00008.txt,IMH,00010,50000,00008,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00009.txt,IMH,00010,50000,00009,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_50000_00010.txt,IMH,00010,50000,00010,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00001.txt,IMH,00010,75000,00001,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00002.txt,IMH,00010,75000,00002,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00003.txt,IMH,00010,75000,00003,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00004.txt,IMH,00010,75000,00004,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00005.txt,IMH,00010,75000,00005,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00006.txt,IMH,00010,75000,00006,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00007.txt,IMH,00010,75000,00007,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00008.txt,IMH,00010,75000,00008,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00009.txt,IMH,00010,75000,00009,1,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00010_75000_00010.txt,IMH,00010,75000,00010,0,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00001.txt,IMH,00025,25000,00001,57,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00002.txt,IMH,00025,25000,00002,47,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00003.txt,IMH,00025,25000,00003,53,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00004.txt,IMH,00025,25000,00004,44,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00005.txt,IMH,00025,25000,00005,43,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00006.txt,IMH,00025,25000,00006,45,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00007.txt,IMH,00025,25000,00007,51,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00008.txt,IMH,00025,25000,00008,45,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00009.txt,IMH,00025,25000,00009,54,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_25000_00010.txt,IMH,00025,25000,00010,38,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00001.txt,IMH,00025,50000,00001,65,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00002.txt,IMH,00025,50000,00002,61,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00003.txt,IMH,00025,50000,00003,62,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00004.txt,IMH,00025,50000,00004,58,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00005.txt,IMH,00025,50000,00005,61,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00006.txt,IMH,00025,50000,00006,62,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00007.txt,IMH,00025,50000,00007,60,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00008.txt,IMH,00025,50000,00008,62,1,0,1
